family,dtype,batch_size,prefill_length,runs,huggingface_prefill_p50_mean_ms,triton_prefill_p50_mean_ms,prefill_speedup_mean,prefill_speedup_median,prefill_speedup_min,prefill_speedup_max,prefill_speedup_ratio_of_means,huggingface_prefill_p95_mean_ms,triton_prefill_p95_mean_ms,huggingface_decode_p50_mean_ms,triton_decode_p50_mean_ms,decode_speedup_mean,decode_speedup_median,decode_speedup_min,decode_speedup_max,decode_speedup_ratio_of_means,huggingface_decode_p95_mean_ms,triton_decode_p95_mean_ms,huggingface_decode_tokens_per_second_mean,triton_decode_tokens_per_second_mean,max_prefill_abs_error,max_decode_abs_error,validated_prefill_triton_calls,validated_decode_triton_calls_per_token,status
llama,bf16,1,32,3,1.165909330,1.178725322,0.989176268,0.985447678,0.975996464,1.006084662,0.989127245,1.230803694,1.216510393,1.069151998,1.074938675,0.994573014,0.995952311,0.981667991,1.006098739,0.994616738,1.097793106,1.093449066,935.521561891,930.308543108,0.000000000,0.000000000,9,9,ok
llama,bf16,1,128,3,1.174784005,1.172213375,1.002157119,1.007386259,0.991465999,1.007619100,1.002192970,1.211786636,1.218575456,1.069951991,1.077802658,0.992727556,0.991676696,0.987810935,0.998695038,0.992716044,1.099073587,1.105786661,934.700491247,927.894481258,0.000000000,0.000000000,9,9,ok
llama,bf16,1,512,3,1.186693351,1.190768003,0.996553955,0.998780200,0.983923391,1.006958274,0.996578131,1.222710953,1.238178682,1.082181315,1.086485327,0.995996769,0.998674859,0.988977212,1.000338234,0.996038592,1.104878410,1.112350931,924.250885555,920.488472332,0.011718750,0.011718750,9,9,ok
llama,fp16,1,32,3,1.180831969,1.178442677,1.002041429,0.998664157,0.996488521,1.010971610,1.002027500,1.251916282,1.286837312,1.094314675,1.097050667,0.997526108,0.995456524,0.991684842,1.005436958,0.997506048,1.165400527,1.173475232,913.819015588,911.545887084,0.001953125,0.001464844,9,9,ok
llama,fp16,1,128,3,1.181152046,1.173322658,1.006578156,1.011304214,0.990123646,1.018306609,1.006672834,1.259180800,1.233251184,1.075429340,1.082191984,0.993656187,0.998710735,0.980478629,1.001779197,0.993750976,1.100154124,1.104814935,930.226448199,924.152550119,0.001159668,0.001464844,9,9,ok
llama,fp16,1,512,3,1.185882668,1.190991998,0.995692070,1.000561720,0.985236958,1.001277532,0.995710022,1.210035739,1.227690677,1.089232008,1.100336015,0.989893198,0.989352260,0.978006789,1.002320545,0.989908531,1.128854408,1.129200566,918.267959326,908.880912805,0.001953125,0.001953125,9,9,ok
qwen2,bf16,1,32,3,1.207456033,1.219008009,0.990480970,0.995193430,0.978576679,0.997672802,0.990523462,1.233848007,1.258486396,1.096352001,1.102949321,0.993959325,0.997989427,0.982526443,1.001362105,0.994018474,1.116667187,1.126263460,912.357513256,906.729557979,0.000000000,0.000000000,9,9,ok
qwen2,bf16,1,128,3,1.192527989,1.202405314,0.991728023,0.993085533,0.974809601,1.007288935,0.991785362,1.235088557,1.237499742,1.087466677,1.092272004,0.995592007,0.999356474,0.985061976,1.002357573,0.995600614,1.116619217,1.110490119,919.886427983,915.772304125,0.000000000,0.000000000,9,9,ok
qwen2,bf16,1,512,3,1.223850667,1.226735970,0.997673141,0.998330666,0.993857495,1.000831261,0.997647984,1.252018692,1.694976000,1.112021347,1.111472011,1.000458990,1.000467456,0.996309925,1.004599590,1.000494242,1.135894392,1.131808507,899.554195814,899.924475065,0.015625000,0.015625000,9,9,ok
qwen2,fp16,1,32,3,1.188661337,1.200986664,0.989719789,0.998523425,0.971929346,0.998706596,0.989737332,1.238952538,1.265053360,1.109802663,1.106410662,1.003121772,1.003666546,0.994014687,1.011684082,1.003065770,1.157105045,1.157474120,901.109496430,903.926417218,0.000976562,0.001220703,9,9,ok
qwen2,fp16,1,128,3,1.201045334,1.202661315,0.998644793,0.997060419,0.993379740,1.005494221,0.998656329,1.241379170,1.242494385,1.104522685,1.104154666,1.000321066,1.000501060,0.993466763,1.006995375,1.000333304,1.146657608,1.121986657,905.488999334,905.740719567,0.001190186,0.001342773,9,9,ok
qwen2,fp16,1,512,3,1.208805342,1.220042666,0.990872210,1.000927672,0.963038382,1.008650576,0.990789401,1.261817076,1.264221340,1.114992023,1.119023999,0.996379984,0.992376728,0.987607069,1.009156156,0.996396882,1.142303465,1.162195220,897.199273487,893.857972634,0.001464844,0.001464844,9,9,ok
