family,case_name,batch_size,sequence_length,rows,hidden_size,dtype,runs,huggingface_p50_mean_ms,triton_p50_mean_ms,p50_speedup_mean,p50_speedup_median,p50_speedup_min,p50_speedup_max,huggingface_p95_mean_ms,triton_p95_mean_ms,p95_speedup_mean,max_abs_error,max_mean_abs_error,p50_speedup_ratio_of_means
llama,prefill_b4_s32,4,32,128,512,bf16,3,0.018453334,0.004096000,4.505208415,4.500000244,4.500000244,4.515624756,0.019455999,0.004171200,4.664787711,0.031250000,0.001149351,4.505208415
llama,prefill_b4_s32,4,32,128,512,fp16,3,0.018432001,0.004096000,4.500000244,4.500000244,4.500000244,4.500000244,0.019455999,0.004501333,4.361535398,0.003906250,0.000140405,4.500000244
llama,prefill_b4_s32,4,32,128,512,fp32,3,0.014304000,0.004096000,3.492187500,3.500000000,3.476562500,3.500000000,0.014766400,0.005120000,2.884062500,0.000000954,0.000000013,3.492187500
llama,prefill_s128,1,128,128,512,bf16,3,0.018528000,0.004096000,4.523437581,4.500000244,4.500000244,4.570312256,0.019455999,0.004608000,4.247703293,0.031250000,0.001133388,4.523437581
llama,prefill_s128,1,128,128,512,fp16,3,0.018496001,0.004096000,4.515625163,4.500000244,4.500000244,4.546875000,0.019455999,0.004873600,4.013732445,0.003906250,0.000140445,4.515625163
llama,prefill_s128,1,128,128,512,fp32,3,0.014336000,0.004096000,3.500000000,3.500000000,3.500000000,3.500000000,0.015114667,0.005120000,2.952083333,0.000000954,0.000000013,3.500000000
llama,prefill_s32,1,32,32,512,bf16,3,0.017813334,0.003669333,4.896205471,4.641666667,4.552000250,5.494949495,0.018453334,0.004096000,4.505208415,0.031250000,0.001166456,4.854651254
llama,prefill_s32,1,32,32,512,fp16,3,0.017738667,0.003114667,5.698750109,5.729166667,5.440000000,5.927083659,0.018443734,0.004096000,4.502864827,0.003906250,0.000145543,5.695205586
llama,prefill_s32,1,32,32,512,fp32,3,0.013301333,0.003530667,3.813674150,4.038834951,3.242187500,4.160000000,0.013632000,0.004096000,3.328125000,0.000000715,0.000000020,3.767371601
llama,single_token_no_cache,1,1,1,512,bf16,3,0.016384000,0.003605333,4.592140714,4.266666667,4.231404959,5.278350515,0.017173334,0.004096000,4.192708415,0.015625000,0.001441732,4.544378698
llama,single_token_no_cache,1,1,1,512,fp16,3,0.016778666,0.003130667,5.360721798,5.385416341,5.145728643,5.551020408,0.017760001,0.004096000,4.335937663,0.001953125,0.000158306,5.359454749
llama,single_token_no_cache,1,1,1,512,fp32,3,0.012117333,0.003754667,3.279956774,2.976190476,2.945312500,3.918367347,0.012373333,0.004149333,2.983239348,0.000000000,0.000000000,3.227272727
qwen2,prefill_b4_s32,4,32,128,512,bf16,3,0.018432001,0.004096000,4.500000244,4.500000244,4.500000244,4.500000244,0.019455999,0.004480000,4.384615159,0.031250000,0.001149351,4.500000244
qwen2,prefill_b4_s32,4,32,128,512,fp16,3,0.018432001,0.004096000,4.500000244,4.500000244,4.500000244,4.500000244,0.019455999,0.005120000,3.799999805,0.003906250,0.000140405,4.500000244
qwen2,prefill_b4_s32,4,32,128,512,fp32,3,0.014314667,0.004096000,3.494791667,3.500000000,3.484375000,3.500000000,0.014912000,0.005120000,2.912500000,0.000000954,0.000000013,3.494791667
qwen2,prefill_s128,1,128,128,512,bf16,3,0.018485334,0.004096000,4.513020996,4.500000244,4.500000244,4.539062500,0.019455999,0.004586667,4.269135583,0.031250000,0.001133388,4.513020996
qwen2,prefill_s128,1,128,128,512,fp16,3,0.018474667,0.004096000,4.510416829,4.500000244,4.500000244,4.531250000,0.019455999,0.004853333,4.034567694,0.003906250,0.000140445,4.510416829
qwen2,prefill_s128,1,128,128,512,fp32,3,0.014336000,0.004096000,3.500000000,3.500000000,3.500000000,3.500000000,0.015114667,0.005120000,2.952083333,0.000000954,0.000000013,3.500000000
qwen2,prefill_s32,1,32,32,512,bf16,3,0.017930667,0.003637333,5.004081701,4.631147541,4.422764228,5.958333333,0.018464001,0.004096000,4.507812663,0.031250000,0.001166456,4.929618768
qwen2,prefill_s32,1,32,32,512,fp16,3,0.017696000,0.003402667,5.265924713,5.494949495,4.447154217,5.855670425,0.018464001,0.004096000,4.507812663,0.003906250,0.000145543,5.200626959
qwen2,prefill_s32,1,32,32,512,fp32,3,0.013306667,0.003242667,4.104745340,4.078431373,4.038834951,4.196969697,0.013756267,0.004096000,3.358463542,0.000000715,0.000000020,4.103618421
qwen2,single_token_no_cache,1,1,1,512,bf16,3,0.016384000,0.003936000,4.162785065,4.162601626,4.129032258,4.196721311,0.017301333,0.004096000,4.223958333,0.015625000,0.001441732,4.162601626
qwen2,single_token_no_cache,1,1,1,512,fp16,3,0.016384000,0.003621333,4.565737288,4.302521008,4.196721311,5.197969543,0.017194666,0.004096000,4.197916585,0.001953125,0.000158306,4.524300442
qwen2,single_token_no_cache,1,1,1,512,fp32,3,0.012160000,0.003776000,3.257193792,3.011952191,2.976377953,3.783251232,0.012416000,0.004096000,3.031250000,0.000000000,0.000000000,3.220338983
