operator,count,self_cpu_time_total_us,cpu_time_total_us,self_device_time_total_us,device_time_total_us
model_iteration::huggingface_model,5,0.0,0.0,10923.582,10923.582
rmsnorm::huggingface_llama,45,0.0,0.0,2471.2129999999997,2471.2129999999997
aten::mm,145,903.2620000000213,1205.658,468.9009999999935,468.9009999999935
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8>(cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8::Params),120,0.0,0.0,371.683999999997,371.683999999997
aten::mul,200,581.6029999999932,939.8249999999912,310.1749999999922,310.1749999999922
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",125,0.0,0.0,218.23999999999273,218.23999999999273
aten::copy_,120,239.9090000000042,471.00300000000084,162.75400000000081,162.75400000000081
aten::add,130,395.46000000000186,632.9190000000085,159.35999999999672,159.35999999999672
aten::_flash_attention_forward,20,112.92900000000282,341.21200000000454,144.4799999999982,144.4799999999982
"void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, false, true, false, false>(pytorch_flash::Flash_fwd_params)",20,0.0,0.0,144.4799999999982,144.4799999999982
aten::mean,45,196.988000000003,280.8290000000045,117.1489999999983,117.1489999999983
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>)",45,0.0,0.0,117.1489999999983,117.1489999999983
aten::cat,45,189.989999999995,277.82499999999845,109.37900000000309,109.37900000000309
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 4, 64, 64>(at::native::(anonymous namespace)::OpaqueType<2u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 64, 64>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",40,0.0,0.0,98.88300000000481,98.88300000000481
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",55,0.0,0.0,97.15300000000502,97.15300000000502
